post_id,title,link,content,comments
326081,오늘 아침에 일어났던 청주시 고등학교 사건에 대한 기사,https://gall.dcinside.com/board/view/?id=dcbest&no=326081&_dcbest=1&page=1,"- 관련게시물 : 청주 고교서 흉기난동 발생https://n.news.naver.com/mnews/article/417/0001073742 ""이성 문제로 불만""… '청주 고교 흉기 난동' 학생 가방엔 흉기 가득충북 청주 한 고등학교에서 흉기 난동 사건이 발생해 6명이 부상을 입었다. 28일 뉴스1에 따르면 이날 오전 8시36분쯤 청주시 흥덕구 한 고등학교 복도에서 특수교육 대상 학생 A군(17)이 다수의 교직원을 향해 흉n.news.naver.com기사에 따르면, 당초 가해자는 특수학급 소속인 줄 알았으나 확인해보니 그건 아니고 일반학급에서 생활하는 특수교육대상자라고 함분노조절장애가 있었고, 평소 이성 관계 문제가 있었다고1~2일 정도 지나면 더 정확하고 상세한 전후 사정 및 정보가 나올듯- 등교 전 가방에 흉기 4개 챙긴 청주 고교생 흉기 난동범…https://naver.me/5KbgoMYo [속보]등교 전 가방에 흉기 4개 챙긴 청주 고교생 흉기 난동범…사건 발생 고교는 휴교 안 해28일 학생 흉기 난동이 발생한 청주의 한 고등학교에서 경찰 등이 사고 상황을 파악하고 있다. 연합뉴스 충북 청주의 한 고등학교에서 흉기 난동을 벌인 특수학급 학생이 범행 전 다수의 흉기를 소지한 채 등교한 것으로 naver.me- 흉기 난동 학생, 차량 운전자도 찔러 ... 아이들 노렸다출처: 더불어민주당 갤러리 [원본 보기]",[]
326078,준비란 물량까지 동났다...어르신들 공략한 매력적 제안,https://gall.dcinside.com/board/view/?id=dcbest&no=326078&_dcbest=1&page=1,https://youtu.be/q7R2JBBXfns?si=arXWVQMDKgqjMT4t [자막뉴스] 준비한 물량까지 동났다...어르신들 공략한 매력적 제안 / YTN행정복지센터 민원 창구에서 어르신이 신청서와 함께 운전 면허증을 반납합니다.곧바로 돌아오는 건 버스를 타거나 편의점 등에서 물건을 살 수 있는 교통카드와 두툼한 봉투.봉투에는 시장에서 쓸 수 있는 온누리 상품권 40만 원어치가 들었습니다.65살 이상 어르신이 운전 면허증을 반납하고...youtu.be50만원 배급 드가자 ㅋㅋㅋ 출처: 이론 갤러리 [원본 보기],[]
326077,첫해외여행&혼여 오사카-교토 5박6일 후기,https://gall.dcinside.com/board/view/?id=dcbest&no=326077&_dcbest=1&page=1,1일차 - 간사이 공항 도착하고 난바역에 짐맡긴담에 해유관으로 바로 출발함 고래상어 생각보다 막 엄청 크진않은듯?? 얘 이름은 머르겠는데 귀여웠어 2일차 -아침일찍 오사카성 갔다가 우메다가서 이치란라멘먹고 포켓몬센터랑 닌텐도스토어 들름 그후에 나라가서 국립박물관에서 칠지도 구경했음 사진금지인게 아쉽 그 후에 도다이지랑 나라공원감사슴 진짜 개무서움 유튜브보면 양손번쩍들면 먹이없는줄알고 물러간다는데 그거 구라임 3일차 - 오사카 엑스포에서 하루보냄 근데 진짜 대부분이 걍 화면에 영상틀어주고 자기 나라 홍보하는게 대부분  건담은 짱큼 4일차 - 유니버셜 스튜디오 싱글라이더로 어지간한건 한개씩 다 타보고 돌아온듯 해리포터 성이 ㄹㅇ 개이쁨 5일차 - 아침에 무기토 멘스케 가서 라멘먹고 교토로 이동 교토역에서 버스 타고 은각사까지 간 다음 쭉 걸어서 철학의길 -> 헤이안신궁 -> 니넨자카 -> 산넨자카 ->기요미즈데라 -> 교토역 이렇게 돌아옴 마지막 6일차 - 첫차타고 후시미이나리신사 첫차타고 가니까 사람 거의 없어서 좋았음 정상찍고 내려오니까 사람 바글바글하던 고양이가 귀여워요 근데 고양이 왜 많음 이나리신사 다 보고 다시 오사카 난바로 돌아와서 오코노미야끼 먹음 후에 공항갈때까지 빈시간에 덴덴타운 갔다가 복귀 개힘들었다 수요일 걸음수 체크안된거까지하면 17만걸음정도 걸은듯 - dc official App출처: 일본여행 - 관동이외 갤러리 [원본 보기],[]
326074,대구 북구 노곡동 함지산서 산불 발생…인근 주민·등산객 주의,https://gall.dcinside.com/board/view/?id=dcbest&no=326074&_dcbest=1&page=1,"https://m.yeongnam.com/view.php?key=20250428020263053 [속보] 대구 북구 노곡동 함지산서 산불 발생…인근 주민·등산객 주의28일 오후 2시 1분께 대구 북구 노곡동 산39 일대에서 산불이 발생했다 오후 2시 14분 당국은 입산을 금지하고 인근 주민과 등산객에게 안전사고에 주의하라는 안전안내문자를 수도권을 제외한 지역신문 중 가장 오래된 역사를 가진 지역 일간지 영남일보입니다. 방문에 감사드립니다.m.yeongnam.comhttps://www.gukjenews.com/news/articleView.html?idxno=3261776 [속보] 대구 노곡동서 산불 발생...주민·등산객 주의대구에 산불이 발생했다.22일 대구 북구에 따르면 이날 오후 2시 1분 경 노곡동 산39에서 불이 났다.이에 인근 주민과 등산객은 안전사고에 주의해달라고 당부했다.www.gukjenews.com- [속보] 대구 북구 함지산서 산불…헬기 5대 동원 진화 작업https://n.news.naver.com/article/088/0000944603?sid=102 [속보] 대구 북구 함지산서 산불…헬기 5대 동원 진화 작업28일 오후 2시쯤 대구 북구 노곡동 함지산에 불이 났다. 소방당국은 헬기 5대를 비롯해 차량 24대, 인력 69명을 투입해 진화 작업을 벌이고 있다. 사상자는 아직까지 발생하지 않은 것으로 알려졌다. 북구청은 이날n.news.naver.com- 또 산불이야이게 뭔...  - dc official App- 대구 또 불난다고 난리네 대피명령 뜸- 대구 현재 산불난 위치저 뻥뚫린데가 산이냐? - 산불… 경북대 근황…jpg- 실시간 이거뭐노윤활준비 마쳤는데 산불 나서 헬기 겁나 날라댕기는데 ㅎㄷㄷ 소방관분들 화이팅입니다출처: 스카이 갤러리 [원본 보기]",[]
326072,"전장연, 출근길 혜화역 지하철 시위… 또 강제 퇴거당해",https://gall.dcinside.com/board/view/?id=dcbest&no=326072&_dcbest=1&page=1,"- 관련게시물 : 전장연 1년먀에 지하철 시위 4호선 혜화역 아수라장- 관련게시물 : 싱글벙글 드디어 정상화 된 전장연 시위https://naver.me/54LNSUHi 전장연, 출근길 혜화역 지하철 시위… 또 강제 퇴거당해서울 지하철 4호선 혜화역에서 시위를 벌이고 있는 전국장애인차별철폐연대(전장연) 활동가들이 또 강제 퇴거당했다. 이번이 다섯번째다. 28일 뉴시스에 따르면 이날 오전 8시쯤부터 전장연 활동가 10여명이 서울 종로구naver.me- 김재섭 ""전장연 방지법 발의"" - dc official App- 문OO 서울시의원 “시민 통행권 침해에 공사 직원 폭행까지,전장연은 그릇https://n.news.naver.com/article/081/0003537052?sid=102 문성호 서울시의원 “시민 통행권 침해에 공사 직원 폭행까지, 전장연은 그릇된 시위방식 중단하라”서울시의회 문성호 의원(국민의힘·서대문2)이 지난 21일, 전국장애인차별철폐연대(이하 전장연)이 1년만에 출근길 선전전을 진행함에 따라 발생한 시민 통행권 침해와 서울교통공사 직원이 폭행당한 사실에 대해 깊은 분노를n.news.naver.com출처: 국내야구 갤러리 [원본 보기]",[]
326071,공포의 인도 남성인권 운동,https://gall.dcinside.com/board/view/?id=dcbest&no=326071&_dcbest=1&page=1,"패밀리, 낫 페미니스트인도 남성을 구해주세요법을 성중립적으로 만들어라! 남성도 피해자가 될수있다남성에게도 인권이있다페미들아! 인도남성 강간을 멈춰라트럼프 대통령 만세위짤은 인도 반페미 단체 인도남성연합 회원들과 보수정당 인도 국민당 당원들의 남성인권 시위 현장이다.요즘 인도는 보수성향 20대 남성 위주로 반페미니즘 바람이 불고있다고함..인도는 여성상위 국가인데 페미들때문에 여혐국가로 낙인찍혔다.여자들이 젊은 남성들 일자리를 다 뺏어가고있다여자들이 강간당하면 도와주면 안된다이게 인도 20대들의 주장임.근데 이거 어디서 많이 본거같다출처: 싱글벙글 지구촌 갤러리 [원본 보기]",[]
326069,"전라도 군산시, 백종원 더본코리아에 70억 예산 투입",https://gall.dcinside.com/board/view/?id=dcbest&no=326069&_dcbest=1&page=1,"28일 연합뉴스에 따르면 군산시는 더본코리아와 협업해 군산시 금동에 더본 외식산업개발원을 짓고 있다. 지역 특색 메뉴 개발과 외식업 종사자 교육, 원도심 상권 활성화 등 도시재생을 위해서다.시는 관련 사업에 약 70억원의 예산을 투입했다. 완공되면 더본코리아가 외식산업개발원 운영을 맡아 지역 농산물을 활용한 메뉴 개발과 외식업 컨설팅, 외식 사업 교육 프로그램 등을 운영할 예정이다.이어 ""시는 더본코리아와 법적 구속력이 없는 업무협약만 체결한 상태에서 이미 시설을 조성하고 사용 허가 계약을 맺으려 하고 있다""면서 ""지금 같은 방식으로 사업이 추진될 경우 더본코리아가 운영을 중단하겠다고 선언하거나, 취지에 어긋나는 방식으로 운영을 해도 막을 방법이 사실상 없다""고 강조했다.https://naver.me/G7VawjiX 백종원 회사에 '70억 몰빵' 지원한 군산시…과잉 혜택 논란전북 군산시의 '외식산업개발원' 사업이 논란에 휩싸였다. 시가 더본코리아에 과한 혜택을 제공했다는 지적이 제기되면서다. 공공사업이 특정 기업에 과한 혜택을 제공하면 사업 위험성이 커진다는 취지다. 특히 더본리스크는 naver.me출처: 백종원의 골목식당 갤러리 [원본 보기]",[]
326068,마법과 마나의 세계에서 존재할리 없는 쿠노이치.1,https://gall.dcinside.com/board/view/?id=dcbest&no=326068&_dcbest=1&page=1,닌닌- dc official App출처: 카툰-연재 갤러리 [원본 보기],[]
326066,"김재연 ""여가부 장관 부총리로 격상, 비동간죄·차금법 통과, 탈원전""",https://gall.dcinside.com/board/view/?id=dcbest&no=326066&_dcbest=1&page=1,"(이하 생략) https://n.news.naver.com/article/047/0002471248- [진보당] 김재연 후보, 판문점선언 7주년 맞아 5대 평화공약 발표진보당 김재연 대선후보가 4월 27일 판문점 선언 7주년을 맞아 한반도 평화와 자주를 위한 5대 공약을 발표했습니다.  지금 한반도 정세는 2018년 판문점선언을 발표할 때와는 너무 다르다며 “지금은 신냉전과 다극화 시대“라며 ”자국의 이익을 위해서라면 전쟁도 불사하는 시대”라고 진단했습니다. 미국도 2018 종전선언을 지지할 때와 다르다며 ”중국-대만 분쟁에 개입하라고 노골적으로 요구하고 있다“고 평가했습니다. ”한반도는 주변국 사이에서 완충 역할을 하지 못했을 때, 전쟁의 교두보로 전락하고 말았다“며 ”우리 스스로의 힘으로 한반도 평화를 지켜야 한다“고 강조했습니다. 이에 김재연 대선후보는 전시작전권 환수, 불평등한 한미관계 정상화, 다자외교와 중립국가 등을 제시했습니다. 일하는 사람이 주인인 나라“자주국가·평등사회·통일세상을 향해”- [단독] 이재명. 진보당 단일화. 재벌·한미동맹 해체' 받나https://www.newdaily.co.kr/site/data/html/2025/04/28/2025042800179.html [단독] 이재명민주, 통진당 후예 진보당과 단일화 준비 … '재벌·한미동맹 해체' 받나이재명 대통령 후보 체제가 시작된 더불어민주당이 진보당과 단일화를 계획하고 있다. 우파 진영 인사 영입에 열을 올리며 우클릭에 나선 이 후보와 민주당이 통합진보당의 후신으로 불리는 진보당 대선 후보이자 '이석기 키즈'로 불리는 김재연 후보와 연대를 추진하는 것이다.  민주당의 한 최고위원은 28일 뉴데일리와의 통화에서 ""진보당과 연대는 선택이 아니라 필수적으로 당연히 해야 할 일""이라며 &uo...www.newdaily.co.kr - dc official App출처: 새로운보수당 갤러리 [원본 보기]",[]
326065,씹덕 행사장에서 버튜버를 알아본 사람,https://gall.dcinside.com/board/view/?id=dcbest&no=326065&_dcbest=1&page=1,"""아닌데요""출처: 국내야구 갤러리 [원본 보기]",[]
326063,싱글벙글 스타크래프트 IP경쟁 근황.jpg,https://gall.dcinside.com/board/view/?id=dcbest&no=326063&_dcbest=1&page=1,넥슨이 이김 - 넥슨 & 스타크래프트 협업출처: 싱글벙글 지구촌 갤러리 [원본 보기],[]
326062,"""닦달하면 환불 없어"" '황당'문자..""돈 떼이고 협박당하나""",https://gall.dcinside.com/board/view/?id=dcbest&no=326062&_dcbest=1&page=1,"https://youtu.be/EnS__POnClc?si=LAetA2kNHamte3b_ [자막뉴스] ""닦달하면 환불 없어"" '황당' 문자..""돈 떼이고 협박당하나"" '발칵' (목포MBC 뉴스)#헬스장 #폐업 #영업종료 #회원권#MBC #뉴스 #뉴스데스크 #MBC뉴스 #뉴스투데이 #뉴스ZIP #뉴스꾹 #오늘이뉴스 #자막뉴스ㅤⓒ MBC & iMBC 무단 전재, 재배포 및 이용(AI학습 포함)금지youtu.be이런거 매년 보이는데 법좀 강화 해야할듯.. 출처: 이론 갤러리 [원본 보기]",[]
326060,한동훈 한화 이글스 뭐냐??????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=dcbest&no=326060&_dcbest=1&page=1,https://www.youtube.com/live/hkx6TsUwNTw?si=Cqr__NrgmDLNuw82 유리구두 TV   4.28 대전시당This stream is created with #PRISMLiveStudiowww.youtube.com얘 지금 뭐함? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc official App- 펌) 한화이글스 유니폼 입은 한동훈 (기사짤 추가) (유니폼은 대전시당에서 준비해서 즉석에서 입음) https://m.dcinside.com/board/centristconservatis/1232760 한화이글스 유니폼 입은 한동훈 .jpg - 중도보수 마이너 갤러리(유니폼은 대전시당에서 준비해서 즉석에서 입음)m.dcinside.comhttps://m.dcinside.com/board/drama_new3/19125978  한동훈 한화 유니폼 입었노 ㅋㅋㅋㅋ - 기타 국내 드라마 갤러리 m.dcinside.com+ 기사 사진 - 한동훈 한화 이글스갤 반응 ㅋㅋㅋㅋㅋ - dc official App출처: 한화 이글스 갤러리 [원본 보기],[]
326059,싱글벙글 입으로 호흡 하면 안되는 이유,https://gall.dcinside.com/board/view/?id=dcbest&no=326059&_dcbest=1&page=1,흠....  - dc official App출처: 싱글벙글 지구촌 갤러리 [원본 보기],[]
326056,어청도 2일차  탐조,https://gall.dcinside.com/board/view/?id=dcbest&no=326056&_dcbest=1&page=1,"1일차가 없는 이유는 사진 다 삭제됨  ㅂㄷㅂㄷ 첫날에 졸면서 사진 삭제하다 전체 삭제 눌렀다 이번에는 복원도 안됨,, 첫날은 유리딱새, 장다리물떼새, 큰유리새, 잿빛쇠찌르레기 종추함 날짜 :  24일 첫 새는 삑삑도요 촉새 가장 많음 , 촉새가 어청도 먹은듯 노랑지빠귀  (종추) 학교에서 촬영. 새가 없는 날이지만 그래도 학교는  새들이 꽤 있음 노랑때까치  ( 종추 ) 색감 이쁘더라!! 또 촉새 저수지에서 이틀동안 보인 삑삑도요 저수지 근방이 새가 많았음 붉은뺨멧새 (종추) 휘파람새  이렇게 쉽게 찍어본적은 처음이다ㅋㅋ 직박구리 사진 중앙에 숨어있음 어청도에 직박구리, 검은이마직박구리 많더라 (덕분에 오지게 시끄러움) 혼자 목욕하러온 괭이갈매기 갈매기도 목욕은 민물목욕이 좋나보다 되지빠귀 붉은가슴밭종다리 힝둥새 검은딱새 (종추) 바다직박구리 직박구리들이 많은곳 답게 이녀석까지 많음 후투티 교회랑 하천에는 새가 완전 없었음 쇠붉은뺨멧새 쓰레기장쪽 돌고옴  새는 평범하게 있고, 끝에 경치 맛집이 있어 힐링하고옴 물총새 왼쪽이 수컷인듯  계속 사냥 시도함 가마우지 등대쪽에 특히 많음   해변쪽은 생각보다 새가 없었음 장다리물떼새 (종추) 보고싶었던 녀석인데 봐서 좋았어 검은턱할미새 검은이마직박구리 이곳저곳에서 많이 보임 대충 솔새임 해변 데크길은 새가 평범하게 있지만 첫번째 정자 이후로는 길 상태가 노답이라 더 안가는걸 추천 진짜 추락할거 같더라 ㄷㄷ   왕새매 ( 종추 ) 다행히 맹금도 한마리 건졌음 붉은배지빠귀  ( 종추 ) 개똥지빠귀 되새와 친구들 아이스크림 같은 때까치 ㅋㅋ 노랑눈썹멧새 물총새 발이 귀엽게 나옴 흰뺨검둥오리 대충 솔새 이번 탐조의 주인공 큰유리새  ( 암컷 )  ( 종추 ) 큰유리새 수컷  이거보고 첫날의 스트레스가 다 사라짐 지들끼리 정신없음 ㄷㄷ 너무 멋짐 뚜껑 오픈ㅋㅋ  총 10종추로 목표치 딱맞췄네 ㅋㅋ 새가 적은편이였지만, 내륙에서는 보기 힘든 새들을 쉽게 찍을 수 있어 좋았음 어청도 탐조를 마치고, 금강하구 갯벌 탐조까지 갔다옴 갯벌도 곧 올려줄게  - dc official App출처: 조류 갤러리 [원본 보기]",[]
326054,"`이재명 측근` 정진상, `대장동 민간업자 재판`서",https://gall.dcinside.com/board/view/?id=dcbest&no=326054&_dcbest=1&page=1,"- 관련게시물 : 치과간다고 하면 재판 빼준단다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋhttps://n.news.naver.com/article/029/0002951112?sid=102 [속보] `이재명 측근` 정진상, `대장동 민간업자 재판`서 ""일체의 증언 거부""정 전 실장 ""검찰 증인신청에 신뢰 없고, 언론 항상 비틀어 써"" 정진상 전 더불어민주당 대표실 정무조실장이 28일 이른바 '대장동 개발 비리 의혹' 민간업자들 재판에 증인으로 출석했으나 증언을 거부했다. 서울중앙지n.news.naver.com출처: 잡담 갤러리 [원본 보기]",[]
326053,여시)오늘자 한국여자와 결혼하면 안되는 이유,https://gall.dcinside.com/board/view/?id=dcbest&no=326053&_dcbest=1&page=1,"돈없는한남이랑 결혼한 외녀가..자기는 돈없어도된다,비싼옷없어도된다 이러는데난 돈없으면 못살듯 ㅠ저 외국인은 아직 한국패치가 안돼서 보는시각이 다른건가????댓글들여윽시 한녀들클라스...어디안간다사랑없이 결혼은 되지만돈없이는 안된다는...한녀들되려 외녀의 시각이 이해가 안간다고함ㅋㅋ비정상(돈에눈먼 매매혼)이 너무많아 정상이되고.사랑 하나로 결혼한 외녀가 비정상이 되버린 상황...현 한녀,나거한 결혼문화임.한녀 취집길은. 주갤이 막습니다근데뭐. 이미 자연적으로 막혀가는중출처: 주식 갤러리 [원본 보기]",[]
326051,김재환 PD 백종원 퇴로차단..jpg,https://gall.dcinside.com/board/view/?id=dcbest&no=326051&_dcbest=1&page=1,"4. 프랑스로 도망간다- 백종원 옹호기사의 댓글창이 닫힌 이유 by 45플러스- 백종원 사냥꾼 킹재환 ""일요일까지 갑질 여부 답해라""전면전 선포 ㅋㅋㅋㅋㅋ- 김재환PD 뿌가 상대로 멸망전 선언GOAT골갤러들이함께합니다- 45플러스 최고조회수 1위 따잇했네 ㅋㅋㅋ역시 백대표님! ㅋㅋㅋㅋㅋ- [45플러스] 백종원 뉴스, 해석하는 법https://youtu.be/E9hRYSKUINM4/21 '백종원 신화의 시작과 끝' 영상 업로드 후 쏟아져 나온 뉴스들!한경닷컴과 한국일보의 눈물겨운 백종원 구하기?백종원 김재환 멸망전이 된 진실게임?이번 주 일요일까지 백 대표의 입장 표명을 기다리겠습니다.출처: 백종원의 골목식당 갤러리 [원본 보기]",[]
326050,오싹일본 지진 당시 쓰나미에 속수무책으로 당하는 자동차 안 상황.gif,https://gall.dcinside.com/board/view/?id=dcbest&no=326050&_dcbest=1&page=1,대지진 발생 6시간 전여느때와 다를 것 없는 평범한 아침거래처를 돌고있는 도중 오후 2시 46분경최대 진도 7을 기록한 대지진을 맞이한다지진발생 약 1시간이 지난후 오후 4시경해안과 근접해 있는 거래처로 이동중정체된 차량 앞에는 쓰나미로 떠내려가는 차량들이 보인다.쓰나미와 조우 10초 경과만에피할겨를도 없이 뒤에서 들이닥치는 쓰나미쓰나미 조우 25초만에 제어할 수 없을 정도로 물이 불어남운전석에 보이는 한 사람4분경과 후 급류에 휩쓸려 버린 차량쓰나미 조우 약 4분 30초 경과만에 차량이 건물에 충돌하여 물에 잠기고 영상이 끊김출처: 싱글벙글 지구촌 갤러리 [원본 보기],[]
326048,대선 후보를 편의점 상품에 비유하는 김동연,https://gall.dcinside.com/board/view/?id=dcbest&no=326048&_dcbest=1&page=1,당연히 김동연 입장에선 국힘 후보를 편의점 상품에 비유할때 모두 까내릴 수밖에 없는데 순발력으로 빠르게 대답할때 나오는게 김문수나 홍준표는 유통기한 드립 나오고 한동훈은 과대포장됐다고 바로 특징이 잡히지만 안철수는 그냥 생각나는 깔거리가 밋밋하다 그정도임 이건 오히려 자극적이지 않고 담백해서 건강에 좋은 약과로도 해석될 수 있음 그냥 보통 사람이 선거철 임박해서 딱 이미지를 떠올렸을 때 안철수는 매번 상대적 선녀 포지션에 있었고 그게 여조는 몰라도 실제로 투표함 까봤을때 양자의 간이 발동되는 이유임  - dc official App- 이재명은 snl에 안 나옴?https://youtu.be/AKJhWXDRlmQ?si=-bL62_lTcYslyDDU SNL 코리아 시즌 7 | 지점장이 간다 | 김동연 | 쿠팡플레이 | 쿠팡?SNL 코리아 풀버전은 쿠팡플레이에서!https://coupangplay.app.link/EH7EuGayEHb?이번 주 SNL 코리아 주요 코너는?- 맥도날드 트럼프 쇼- 젊음의 묘약 서브스턴스- 전설의 팬미팅- 커뮤 밖은 위험해?- 화장실 작전타임 - 경증외상센터- 위켄드 ...youtu.be대선후보들 줄줄이 다 나오고 있는데- 한동훈 김동연 SNL 조회수차이허허.. 출처: 안철수의 힘 갤러리 [원본 보기],[]
326047,초비상) 속보 SKT 복제폰으로 5000만원 털림,https://gall.dcinside.com/board/view/?id=dcbest&no=326047&_dcbest=1&page=1,- 관련게시물 : SKT 가입자 2300만명인데 유심 재고 100만개- 관련게시물 : 안싱글벙글 SKT 대고객 발표문 뜸따라해봐 좆됬어요- dc official App- Skt 해킹...피해자 나온듯??  ㄷㄷ...News무섭노 ㄷㄷ- 속보] SKT 먹통 이후 5000만원 인출…첫 해킹피해 신고은퇴시기에 날벼락ㅋㅋㅋ- 진짜 개병신같은 나라네 ㅋㅋㅋㅋㅋ피해자들이 이러고 있네존나 토 나오는 미개한 국가네 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ출처: 미국 주식 갤러리 [원본 보기],[]
